date,age_group,bachelors,quintile,employment,respondents
2015-01-01,16-21,False,1,3164.3,1264
2015-01-01,16-21,False,2,3238.5,1329
2015-01-01,16-21,False,3,901.2,358
2015-01-01,16-21,False,4,581.4,228
2015-01-01,16-21,False,5,932.8,381
2015-01-01,16-21,True,1,8.9,2
2015-01-01,16-21,True,2,13.6,5
2015-01-01,16-21,True,3,28.0,8
2015-01-01,16-21,True,4,25.4,12
2015-01-01,16-21,True,5,13.3,5
2015-01-01,22-25,False,1,2784.7,1049
2015-01-01,22-25,False,2,2682.4,1007
2015-01-01,22-25,False,3,1060.7,416
2015-01-01,22-25,False,4,822.4,303
2015-01-01,22-25,False,5,1323.7,483
2015-01-01,22-25,True,1,211.3,82
2015-01-01,22-25,True,2,520.0,209
2015-01-01,22-25,True,3,918.8,343
2015-01-01,22-25,True,4,777.5,303
2015-01-01,22-25,True,5,1066.6,402
2015-01-01,26-30,False,1,3102.1,1194
2015-01-01,26-30,False,2,2556.5,1020
2015-01-01,26-30,False,3,1252.7,494
2015-01-01,26-30,False,4,1118.4,445
2015-01-01,26-30,False,5,1555.9,626
2015-01-01,26-30,True,1,300.2,128
2015-01-01,26-30,True,2,977.9,397
2015-01-01,26-30,True,3,1777.7,733
2015-01-01,26-30,True,4,1686.2,685
2015-01-01,26-30,True,5,1883.7,742
2015-01-01,31-40,False,1,5911.8,2381
2015-01-01,31-40,False,2,4746.4,1910
2015-01-01,31-40,False,3,2387.8,1045
2015-01-01,31-40,False,4,2524.9,1081
2015-01-01,31-40,False,5,3157.6,1311
2015-01-01,31-40,True,1,488.8,199
2015-01-01,31-40,True,2,1470.7,643
2015-01-01,31-40,True,3,3440.7,1453
2015-01-01,31-40,True,4,3683.6,1543
2015-01-01,31-40,True,5,3527.1,1449
2015-01-01,41+,False,1,13578.3,5877
2015-01-01,41+,False,2,11486.2,5071
2015-01-01,41+,False,3,7068.9,3227
2015-01-01,41+,False,4,7236.1,3236
2015-01-01,41+,False,5,8812.3,3971
2015-01-01,41+,True,1,1237.1,538
2015-01-01,41+,True,2,3430.3,1516
2015-01-01,41+,True,3,8531.7,3808
2015-01-01,41+,True,4,9334.2,4055
2015-01-01,41+,True,5,7210.7,3098
2015-02-01,16-21,False,1,2906.9,1152
2015-02-01,16-21,False,2,3323.2,1279
2015-02-01,16-21,False,3,1043.1,399
2015-02-01,16-21,False,4,574.4,212
2015-02-01,16-21,False,5,1049.2,405
2015-02-01,16-21,True,1,16.5,5
2015-02-01,16-21,True,2,35.7,13
2015-02-01,16-21,True,3,35.3,10
2015-02-01,16-21,True,4,15.0,5
2015-02-01,16-21,True,5,26.6,10
2015-02-01,22-25,False,1,2729.8,1028
2015-02-01,22-25,False,2,2903.3,1033
2015-02-01,22-25,False,3,1087.5,398
2015-02-01,22-25,False,4,778.3,292
2015-02-01,22-25,False,5,1350.1,500
2015-02-01,22-25,True,1,212.5,82
2015-02-01,22-25,True,2,544.8,207
2015-02-01,22-25,True,3,884.0,324
2015-02-01,22-25,True,4,807.5,308
2015-02-01,22-25,True,5,1126.9,409
2015-02-01,26-30,False,1,3137.2,1184
2015-02-01,26-30,False,2,2576.5,987
2015-02-01,26-30,False,3,1291.0,496
2015-02-01,26-30,False,4,1075.8,414
2015-02-01,26-30,False,5,1535.0,601
2015-02-01,26-30,True,1,325.3,129
2015-02-01,26-30,True,2,982.2,397
2015-02-01,26-30,True,3,1731.5,688
2015-02-01,26-30,True,4,1753.7,689
2015-02-01,26-30,True,5,1993.5,773
2015-02-01,31-40,False,1,5846.4,2335
2015-02-01,31-40,False,2,4809.0,1902
2015-02-01,31-40,False,3,2390.5,1028
2015-02-01,31-40,False,4,2431.3,1015
2015-02-01,31-40,False,5,3117.8,1273
2015-02-01,31-40,True,1,465.6,192
2015-02-01,31-40,True,2,1526.3,672
2015-02-01,31-40,True,3,3514.2,1494
2015-02-01,31-40,True,4,3680.4,1548
2015-02-01,31-40,True,5,3469.2,1448
2015-02-01,41+,False,1,13211.3,5663
2015-02-01,41+,False,2,11377.4,4908
2015-02-01,41+,False,3,7027.9,3180
2015-02-01,41+,False,4,7449.5,3249
2015-02-01,41+,False,5,9002.0,3970
2015-02-01,41+,True,1,1179.0,518
2015-02-01,41+,True,2,3539.0,1552
2015-02-01,41+,True,3,8441.1,3752
2015-02-01,41+,True,4,9518.1,4098
2015-02-01,41+,True,5,7269.8,3119
2015-03-01,16-21,False,1,2862.9,1143
2015-03-01,16-21,False,2,3366.0,1285
2015-03-01,16-21,False,3,1090.5,424
2015-03-01,16-21,False,4,549.0,208
2015-03-01,16-21,False,5,1025.8,399
2015-03-01,16-21,True,1,13.2,4
2015-03-01,16-21,True,2,32.6,13
2015-03-01,16-21,True,3,35.2,9
2015-03-01,16-21,True,4,10.3,6
2015-03-01,16-21,True,5,38.5,13
2015-03-01,22-25,False,1,2739.4,1021
2015-03-01,22-25,False,2,2849.5,1007
2015-03-01,22-25,False,3,1139.2,407
2015-03-01,22-25,False,4,789.1,297
2015-03-01,22-25,False,5,1326.6,490
2015-03-01,22-25,True,1,203.7,76
2015-03-01,22-25,True,2,582.2,214
2015-03-01,22-25,True,3,868.7,310
2015-03-01,22-25,True,4,796.7,286
2015-03-01,22-25,True,5,1164.3,412
2015-03-01,26-30,False,1,3187.8,1189
2015-03-01,26-30,False,2,2461.5,964
2015-03-01,26-30,False,3,1277.4,495
